Medium Effective Ordinary Full-Hero Candidate IDs (143)
=======================================================

Effective private-server ordinary Medium Hero set: 85 recovered pool200004 Girls + 58 Soul-Casket-backed Legacy extensions.
This is separate from the 56-Girl New Add featured overlay.

Count: 143

HeroID     | Name                              | Native★ | StoneID    | Group/Evidence
-----------+-----------------------------------+---------+------------+----------------------------------------------
10001001   | Aquaris                           |    1    | 40001001   | Recovered Medium pool200004 (85)
10001002   | Lavia                             |    1    | 40001002   | Recovered Medium pool200004 (85)
10001003   | Pandaria                          |    1    | 40001003   | Recovered Medium pool200004 (85)
10001004   | Lightin                           |    1    | 40001004   | Recovered Medium pool200004 (85)
10001005   | Geisha                            |    1    | 40001005   | Recovered Medium pool200004 (85)
10001006   | Iron Fist                         |    2    | 40001006   | Recovered Medium pool200004 (85)
10001007   | Toys Girl                         |    2    | 40001007   | Recovered Medium pool200004 (85)
10001008   | Joan                              |    1    | 40001008   | Recovered Medium pool200004 (85)
10001009   | Scythe                            |    3    | 40001009   | Recovered Medium pool200004 (85)
10001010   | Rosie                             |    2    | 40001010   | Recovered Medium pool200004 (85)
10001011   | Bud Elf                           |    2    | 40001011   | Recovered Medium pool200004 (85)
10001012   | Boxer                             |    3    | 40001012   | Recovered Medium pool200004 (85)
10001013   | Annie                             |    2    | 40001013   | Recovered Medium pool200004 (85)
10001014   | Cynthia                           |    3    | 40001014   | Recovered Medium pool200004 (85)
10001015   | Amazon                            |    3    | 40001015   | Recovered Medium pool200004 (85)
10001016   | Bidenty                           |    3    | 40001016   | Recovered Medium pool200004 (85)
10001017   | Smartie                           |    3    | 40001017   | Recovered Medium pool200004 (85)
10001018   | Androi                            |    3    | 40001018   | Recovered Medium pool200004 (85)
10001019   | Archie                            |    1    | 40001019   | Recovered Medium pool200004 (85)
10001020   | Jinx                              |    1    | 40001020   | Recovered Medium pool200004 (85)
10001021   | Leona                             |    1    | 40001021   | Recovered Medium pool200004 (85)
10001022   | Quinie                            |    1    | 40001022   | Recovered Medium pool200004 (85)
10001023   | Fanny                             |    2    | 40001023   | Recovered Medium pool200004 (85)
10001024   | Dr. Hua                           |    2    | 40001024   | Recovered Medium pool200004 (85)
10001025   | Chevalir                          |    3    | 40001025   | Recovered Medium pool200004 (85)
10001026   | Maidam                            |    2    | 40001026   | Recovered Medium pool200004 (85)
10001027   | Haxie                             |    3    | 40001027   | Recovered Medium pool200004 (85)
10001028   | Lily                              |    2    | 40001028   | Recovered Medium pool200004 (85)
10001029   | Gambler                           |    3    | 40001029   | Recovered Medium pool200004 (85)
10001030   | Wild Girl                         |    3    | 40001030   | Recovered Medium pool200004 (85)
10001031   | Fortune                           |    2    | 40001031   | Recovered Medium pool200004 (85)
10001033   | Saint                             |    2    | 40001033   | Recovered Medium pool200004 (85)
10001036   | Blowie                            |    2    | 40001036   | Recovered Medium pool200004 (85)
10001038   | Elvis                             |    3    | 40001038   | Recovered Medium pool200004 (85)
10001039   | Succuba                           |    3    | 40001039   | Recovered Medium pool200004 (85)
10001040   | Angel                             |    2    | 40001040   | Recovered Medium pool200004 (85)
10001043   | Hottie                            |    3    | 40001043   | Recovered Medium pool200004 (85)
10001044   | Celeste                           |    3    | 40001044   | Legacy extension (58)
10001046   | Witch                             |    1    | 40001046   | Recovered Medium pool200004 (85)
10001047   | Karatine                          |    2    | 40001047   | Legacy extension (58)
10001048   | Lin ﹒AI                           |    3    | 40001048   | Legacy extension (58)
10001049   | Caitlyn                           |    3    | 40001049   | Legacy extension (58)
10001050   | Assassin                          |    3    | 40001050   | Recovered Medium pool200004 (85)
10001051   | Ninja                             |    3    | 40001051   | Recovered Medium pool200004 (85)
10001053   | Wildtress                         |    2    | 40001053   | Recovered Medium pool200004 (85)
10001055   | Nurse                             |    2    | 40001055   | Recovered Medium pool200004 (85)
10001057   | Zombia                            |    3    | 40001057   | Recovered Medium pool200004 (85)
10001058   | Muppet                            |    3    | 40001058   | Recovered Medium pool200004 (85)
10001060   | Phancy                            |    3    | 40001060   | Recovered Medium pool200004 (85)
10001063   | Nagia                             |    2    | 40001063   | Recovered Medium pool200004 (85)
10001066   | Dracula                           |    3    | 40001066   | Recovered Medium pool200004 (85)
