All Canonical Girl Hero IDs (291)
=================================

Merged operator reference: 277 normal Partner Girls + 14 Vow/super-partner Girls.
Generated from data/girl_reference_catalog.json, which is a compact projection of the canonical Pass42.10 GIRL_CATALOG.jsonl.
Runtime summon eligibility is NOT inferred from this file; use data/summon_featured_catalog.json and the cohort sheets above.

Count: 291

HeroID     | Name                              | Native★ | StoneID    | SX | Vow | Acquisition              | Legacy group
-----------+-----------------------------------+---------+------------+----+-----+--------------------------+---------------------------
11001      | Hoder                             |    1    | 41001      | 0  |  1  | vow_system               | 
11002      | Balder                            |    1    | 41002      | 0  |  1  | vow_system               | 
11003      | Vider                             |    1    | 41003      | 0  |  1  | vow_system               | 
11004      | Heimdall                          |    1    | 41004      | 0  |  1  | vow_system               | 
11005      | Loki                              |    1    | 41005      | 0  |  1  | vow_system               | 
11006      | Freya                             |    1    | 41006      | 0  |  1  | vow_system               | 
11007      | Eden                              |    1    | 41007      | 0  |  1  | vow_system               | 
11008      | Sif                               |    1    | 41008      | 0  |  1  | vow_system               | 
11009      | Tyr                               |    1    | 41009      | 0  |  1  | vow_system               | 
11010      | Frega                             |    1    | 41010      | 0  |  1  | vow_system               | 
11011      | Thor                              |    1    | 41011      | 0  |  1  | vow_system               | 
11012      | Forseti                           |    1    | 41012      | 0  |  1  | vow_system               | 
11013      | Bragi                             |    1    | 41013      | 0  |  1  | vow_system               | 
11014      | Frey                              |    1    | 41014      | 0  |  1  | vow_system               | 
10001001   | Aquaris                           |    1    | 40001001   | 0  |  0  | ordinary_vending         | 
10001002   | Lavia                             |    1    | 40001002   | 0  |  0  | ordinary_vending         | 
10001003   | Pandaria                          |    1    | 40001003   | 0  |  0  | ordinary_vending         | 
10001004   | Lightin                           |    1    | 40001004   | 0  |  0  | ordinary_vending         | 
10001005   | Geisha                            |    1    | 40001005   | 0  |  0  | ordinary_vending         | 
10001006   | Iron Fist                         |    2    | 40001006   | 0  |  0  | ordinary_vending         | 
10001007   | Toys Girl                         |    2    | 40001007   | 0  |  0  | ordinary_vending         | 
10001008   | Joan                              |    1    | 40001008   | 0  |  0  | ordinary_vending         | 
10001009   | Scythe                            |    3    | 40001009   | 0  |  0  | ordinary_vending         | 
10001010   | Rosie                             |    2    | 40001010   | 0  |  0  | ordinary_vending         | 
10001011   | Bud Elf                           |    2    | 40001011   | 0  |  0  | ordinary_vending         | 
10001012   | Boxer                             |    3    | 40001012   | 0  |  0  | ordinary_vending         | 
10001013   | Annie                             |    2    | 40001013   | 0  |  0  | ordinary_vending         | 
10001014   | Cynthia                           |    3    | 40001014   | 0  |  0  | ordinary_vending         | 
10001015   | Amazon                            |    3    | 40001015   | 0  |  0  | ordinary_vending         | 
10001016   | Bidenty                           |    3    | 40001016   | 0  |  0  | ordinary_vending         | 
10001017   | Smartie                           |    3    | 40001017   | 0  |  0  | ordinary_vending         | 
10001018   | Androi                            |    3    | 40001018   | 0  |  0  | ordinary_vending         | 
10001019   | Archie                            |    1    | 40001019   | 0  |  0  | ordinary_vending         | 
10001020   | Jinx                              |    1    | 40001020   | 0  |  0  | ordinary_vending         | 
10001021   | Leona                             |    1    | 40001021   | 0  |  0  | ordinary_vending         | 
10001022   | Quinie                            |    1    | 40001022   | 0  |  0  | ordinary_vending         | 
10001023   | Fanny                             |    2    | 40001023   | 0  |  0  | ordinary_vending         | 
10001024   | Dr. Hua                           |    2    | 40001024   | 0  |  0  | ordinary_vending         | 
10001025   | Chevalir                          |    3    | 40001025   | 0  |  0  | ordinary_vending         | 
10001026   | Maidam                            |    2    | 40001026   | 0  |  0  | ordinary_vending         | 
10001027   | Haxie                             |    3    | 40001027   | 0  |  0  | ordinary_vending         | 
10001028   | Lily                              |    2    | 40001028   | 0  |  0  | ordinary_vending         | 
10001029   | Gambler                           |    3    | 40001029   | 0  |  0  | ordinary_vending         | 
10001030   | Wild Girl                         |    3    | 40001030   | 0  |  0  | ordinary_vending         | 
10001031   | Fortune                           |    2    | 40001031   | 0  |  0  | ordinary_vending         | 
10001032   | Guan Yin                          |    3    | 40001032   | 1  |  0  | sx_family                | 
10001033   | Saint                             |    2    | 40001033   | 0  |  0  | ordinary_vending         | 
10001034   | Tennese                           |    1    | 40001034   | 0  |  0  | limited_or_unmapped      | medium_featured_only
10001035   | Sonya                             |    3    | 40001035   | 1  |  0  | sx_family                | 
10001036   | Blowie                            |    2    | 40001036   | 0  |  0  | ordinary_vending         | 
10001037   | Psychic                           |    3    | 40001037   | 1  |  0  | sx_family                | 
10001038   | Elvis                             |    3    | 40001038   | 0  |  0  | ordinary_vending         | 
10001039   | Succuba                           |    3    | 40001039   | 0  |  0  | ordinary_vending         | 
10001040   | Angel                             |    2    | 40001040   | 0  |  0  | ordinary_vending         | 
10001041   | Kratos                            |    3    | 40001041   | 0  |  0  | limited_or_unmapped      | medium_featured_only
10001042   | Luna                              |    1    | 40001042   | 0  |  0  | limited_or_unmapped      | medium_featured_only
10001043   | Hottie                            |    3    | 40001043   | 0  |  0  | ordinary_vending         | 
